"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3764","ENSMUSG00000053253","Ndfip2","NDFIP2","trans-Golgi",1,1
"3765","ENSMUSG00000053286","Trmt1l","TRMT1L","nucleolus",1,1
"3766","ENSMUSG00000053289","Ddx10","DDX10","nucleolus",1,1
"3767","ENSMUSG00000053291","Rab4b","RAB4B","early_endosome",1,1
"3768","ENSMUSG00000053293","Pom121","POM121","ER",1,1
"3769","ENSMUSG00000053293","Pom121","POM121C","ER",1,1
"3770","ENSMUSG00000053317","Sec61b","SEC61B","ER",1,1
"3771","ENSMUSG00000053329","Gatd3a","GATD3","mitochondrion",1,1
"3772","ENSMUSG00000053333","Dis3l2","DIS3L2","cytosol",1,1
"3773","ENSMUSG00000053398","Phgdh","PHGDH","cytosol",1,1
"3774","ENSMUSG00000053436","Mapk14","MAPK14","cytosol",1,2
"3775","ENSMUSG00000053460","Ggcx","GGCX","ER",1,1
"3776","ENSMUSG00000053470","Kdm3a","KDM3A","nucleus",1,1
"3777","ENSMUSG00000053510","Nrdc","NRDC","cytosol",1,1
"3778","ENSMUSG00000053536","Cstf2t","CSTF2T","unclassified",1,1
"3779","ENSMUSG00000053565","Eif3k","EIF3K","translation",1,1
"3780","ENSMUSG00000053580","Tanc2","TANC2","14-3-3_scaffold",1,1
"3781","ENSMUSG00000053617","Sh3pxd2a","SH3PXD2A","14-3-3_scaffold",1,1
"3782","ENSMUSG00000053641","Dennd4a","DENND4A","early_endosome",1,1
"3783","ENSMUSG00000053644","Aldh7a1","ALDH7A1","mitochondrion",1,2
"3784","ENSMUSG00000053754","Chd8","CHD8","nucleus",1,1
"3785","ENSMUSG00000053768","Chchd3","CHCHD3","mitochondrion",1,1
"3786","ENSMUSG00000053774","Ubxn7","UBXN7","unclassified",1,1
"3787","ENSMUSG00000053801","Grwd1","GRWD1","nucleus",1,1
"3788","ENSMUSG00000053838","Nudcd3","NUDCD3","cytosol",1,1
"3789","ENSMUSG00000053841","Txlna","TXLNA","stress_granule",1,1
"3790","ENSMUSG00000053877","Srcap","SRCAP","nucleus",1,1
